telefone;objetivo_profissional;email;codigo_profissional;nome;data_nascimento;sexo;pcd;endereco;titulo_profissional;area_atuacao;conhecimentos_tecnicos;certificacoes;outras_certificacoes;nivel_profissional;qualificacoes;experiencias;nivel_academico;nivel_ingles;nivel_espanhol;outro_idioma;cursos;atuacao
(32) 92238-5690;suporte jr;joão_pedro_machado@gmail.com;46122;João Pedro Machado;04-09-2001;Masculino;nao;minas gerais;suporte jr;desenvolvimento programacao;;;;;;;ensino superior cursando;basico;basico;-;analise e desenvolvimento de sistemas;desenvolvimento programacao
(92) 97296-8661;consultor sap trilingue;lívia_ferreira@hotmail.com;46123;Lívia Ferreira;21-10-2023;Masculino;nao;sao paulo;consultor sap trilingue;sap suporte;;;;;;;ensino tecnico incompleto;intermediario;fluente;Português - Avançado;;sap suporte
(11) 94690-6733;analista de suporte junior;sr._raul_teixeira@hotmail.com;46124;Sr. Raul Teixeira;09-08-1994;Masculino;nao;sao paulo;analista de suporte junior;banco dados desenvolvimento design desenvolvimento programacao suporte;;;;;;;ensino superior cursando;basico;basico;-;analise e desenvolvimento de sistemas;banco dados desenvolvimento design desenvolvimento programacao suporte
(12) 92777-1834;;paulo_farias@gmail.com;46125;Paulo Farias;26-11-1994;Masculino;nao;sao paulo;;suporte;;;;;;;ensino superior completo;intermediario;nenhum;-;analise e desenvolvimento de sistemas;suporte
(11) 97410-4513;gerente de projetos sap;theo_mendonça@hotmail.com;46126;Theo Mendonça;30-11-1983;Masculino;nao;sao paulo;gerente de projetos sap;projetos;;;;;;;ensino superior completo;intermediario;intermediario;-;engenharia industrial;projetos
(11) 97564-5907;executivo de contas;lucas_gabriel_andrade@hotmail.com;46127;Lucas Gabriel Andrade;0000-00-00;;;sao paulo;executivo de contas;;;;;;;;;;;-;;
(11) 97447-6666;consultor sap co;dra._melissa_pastor@hotmail.com;46128;Dra. Melissa Pastor;0000-00-00;;;sao paulo;consultor sap co;;;;;;;;;;;-;;
(21) 97686-1725;assistente administrativo;sra._maria_cassiano@gmail.com;46129;Sra. Maria Cassiano;0000-00-00;Feminino;;rio de janeiro;assistente administrativo;;;;;;;;;;;-;;
(21) 96146-5845;assistente administrativo;joão_farias@hotmail.com;46130;João Farias;0000-00-00;;;rio de janeiro;assistente administrativo;;;;;;;;;;;-;;
(19) 96831-1472;analista de planejamento senior;ana_clara_mendonça@gmail.com;46131;Ana Clara Mendonça;30-04-1984;Feminino;nao;sao paulo;analista de planejamento senior;administrativa;;;;;;;ensino superior completo;intermediario;nenhum;Português - Fluente;administracao;administrativa
(11) 91176-1140;planejamento sop supply chain;vicente_azevedo@gmail.com;46132;Vicente Azevedo;27-11-1985;Masculino;nao;sao paulo;planejamento sop supply chain;administrativa;;;;;;;pos graduacao completo;intermediario;nenhum;-;;administrativa
(61) 98162-8995;desenvolvedor net pleno;fernanda_camargo@hotmail.com;46133;Fernanda Camargo;16-07-1999;Masculino;nao;distrito federal;desenvolvedor net pleno;desenvolvimento programacao;;;;;;;pos graduacao completo;basico;intermediario;-;engenharia de software;desenvolvimento programacao
(11) 93603-9736;suporte;gabriela_peixoto@hotmail.com;46134;Gabriela Peixoto;0000-00-00;;;sao paulo;suporte;;;;;;;;;;;-;;
(11) 92359-4578;executivo de contas;maria_flor_costela@gmail.com;46135;Maria Flor Costela;0000-00-00;;;sao paulo;executivo de contas;;;;;;;;;;;-;;
(11) 99335-1781;executivo de contas;dom_rios@gmail.com;46136;Dom Rios;0000-00-00;;;sao paulo;executivo de contas;;;;;;;;;;;-;;
(11) 93788-4559;consultor sap abap;igor_porto@gmail.com;46137;Igor Porto;12-02-1973;Masculino;nao;sao paulo;consultor sap abap;desenvolvimento programacao;;;;;;;ensino superior completo;intermediario;nenhum;-;ciencia da computacao;desenvolvimento programacao
(48) 99057-7107;programador java kotlin senior;augusto_da_mata@hotmail.com;46138;Augusto da Mata;0000-00-00;;;santa catarina;programador java kotlin senior;;;;;;;;;;;-;;
(11) 98203-7580;sap fi;benjamin_andrade@hotmail.com;46139;Benjamin Andrade;20-10-1991;Masculino;nao;sao paulo;sap fi;financeira controladoria;;;;;;;ensino superior completo;intermediario;intermediario;-;ciencias contabeis;financeira controladoria
(31) 98914-6285;analista de seguranca da informacao;vitória_da_conceição@gmail.com;46140;Vitória da Conceição;0000-00-00;;;minas gerais;analista de seguranca da informacao;;;;;;;;;;;-;;
(11 98063-5477;cobol;emanuelly_araújo@hotmail.com;46141;Emanuelly Araújo;0000-00-00;;;sao paulo;cobol;;;;;;;;;;;-;;
(11) 99266-2976;consultor sap abap;mariana_fernandes@gmail.com;46142;Mariana Fernandes;30-01-1999;Masculino;nao;sao paulo;consultor sap abap;desenvolvimento programacao;;;;;;;ensino superior cursando;intermediario;basico;Italiano - Básico;gestao da tecnologia da informacao;desenvolvimento programacao
(81) 99024-6725;programadora net vb6 sybase pleno;ana_júlia_rios@hotmail.com;46143;Ana Júlia Rios;0000-00-00;;;pernambuco;programadora net vb6 sybase pleno;;;;;;;;;;;-;;
(11) 91480-5716;diretor comercial;isadora_abreu@hotmail.com;46144;Isadora Abreu;16-03-1974;Masculino;nao;sao paulo;diretor comercial;comercial;;;;;;;ensino superior completo;avancado;basico;-;marketing;comercial
(31) 99461-4982;analista de sistemas lotus notes;vitor_hugo_martins@gmail.com;46145;Vitor Hugo Martins;14-04-1977;Masculino;nao;minas gerais;analista de sistemas lotus notes;projetos;;;"IBM Certified Advanced Application Developer - Lotus Notes and Domino 6/6.5; IBM Certified Advanced Application Developer - Lotus Notes and Domino 7; IBM Certified Advanced Application Developer - Lotus Notes and Domino 8; Scrum Foundation Professional Certificate; SFC - Scrum Fundamentals Certified; Análise de Negócios e Profissionais de Projetos, de Processos e de Negócio.";;;;pos graduacao completo;intermediario;nenhum;-;engenharia de software;projetos
(61) 98961-1307;desenvolvedor power bi;dr._otávio_marques@hotmail.com;46146;Dr. Otávio Marques;0000-00-00;;;distrito federal;desenvolvedor power bi;;;;;;;;;;;-;;
(62) 96148-9474;proramador java;caleb_viana@gmail.com;46147;Caleb Viana;0000-00-00;;;goias;proramador java;;;;;;;;;;;-;;
(11) 98823-5638;diretor comercial;dra._heloísa_nunes@hotmail.com;46148;Dra. Heloísa Nunes;0000-00-00;;;sao paulo;diretor comercial;;;;;;;;;;;-;;
(11) 95240-1211;diretor comercial;asafe_barbosa@gmail.com;46149;Asafe Barbosa;22-04-1967;Masculino;nao;sao paulo;diretor comercial;comercial;;;;;;;pos graduacao completo;avancado;avancado;-;marketingvendas;comercial
(11) 96656-1467;workforce software;clarice_pacheco@hotmail.com;46150;Clarice Pacheco;0000-00-00;;;sao paulo;workforce software;;;;;;;;;;;-;;
(41) 95324-2705;gestao ti sap ams sap basis security compliance aws sustentacao itil scrum certificado;diogo_peixoto@hotmail.com;46151;Diogo Peixoto;0000-00-00;;;parana;gestao ti sap ams sap basis security compliance aws sustentacao itil scrum certificado;;;;;;;;;;;-;;
(11) 99004-4675;dba;henry_gabriel_fonseca@gmail.com;46152;Henry Gabriel Fonseca;0000-00-00;;;sao paulo;dba;;;;;;;;;;;-;;
(97) 95157-7394;analista;ana_julia_da_conceição@hotmail.com;46153;Ana Julia da Conceição;27-11-1999;Masculino;nao;amazonas;analista;seguranca informacao;;;;;;;pos graduacao completo;basico;basico;Português - Fluente;ciencia da computacao;seguranca informacao
(21) 94942-2552;backend developer;marcos_vinicius_pereira@gmail.com;46154;Marcos Vinicius Pereira;0000-00-00;;;rio de janeiro;backend developer;;;;;;;;;;;-;;
(11) 96953-6859;consultora sap fi com ingles;bento_da_costa@hotmail.com;46155;Bento da Costa;0000-00-00;;;sao paulo;consultora sap fi com ingles;;;;;;;;;;;-;;
(21) 92585-8636;programador net;dr._mateus_caldeira@gmail.com;46156;Dr. Mateus Caldeira;0000-00-00;;;rio de janeiro;programador net;;;;;;;;;;;-;;
(11) 99230-6328;planejamento de dem e suppy senior;eloah_costa@gmail.com;46157;Eloah Costa;19-10-1974;Feminino;nao;sao paulo;planejamento de dem e suppy senior;administrativa;;;;;;;pos graduacao completo;intermediario;avancado;-;suprimentoslogistica;administrativa
(11) 97471-6350;gerente financeiro;dr._liam_abreu@hotmail.com;46158;Dr. Liam Abreu;15-12-1995;Feminino;nao;sao paulo;gerente financeiro;administrativa financeira controladoria;;;;;;;ensino superior completo;intermediario;basico;-;gestao financeira;administrativa financeira controladoria
(21) 97647-1427;analista contabil;lunna_câmara@hotmail.com;46159;Lunna Câmara;30-09-1988;Masculino;nao;rio de janeiro;analista contabil;financeira controladoria;;;;;;;pos graduacao cursando;intermediario;nenhum;Português - Fluente;gestao financeira;financeira controladoria
(12) 96394-5276;analista de sop;sra._ana_carolina_souza@gmail.com;46160;Sra. Ana Carolina Souza;07-08-1986;Masculino;nao;sao paulo;analista de sop;administrativa;;;APICS - CPIM (Certified in Planning and Inventory Management);;;;pos graduacao completo;avancado;avancado;-;engenharia industrial;administrativa
(11) 97288-3983;gerente de vendas publicas e privad;sra._ana_sophia_leão@hotmail.com;46161;Sra. Ana Sophia Leão;10-08-1969;Masculino;sim;sao paulo;gerente de vendas publicas e privad;comercial;;;;;;;ensino superior completo;basico;basico;-;administracao de empresas;comercial
(19) 91758-5008;diretor comercial;anna_liz_freitas@gmail.com;46162;Anna Liz Freitas;09-07-1996;Masculino;nao;sao paulo;diretor comercial;comercial;;;;;;;ensino superior completo;avancado;intermediario;-;administracao;comercial
(11) 98742-4272;arquiteto net senior;heloisa_garcia@gmail.com;46163;Heloisa Garcia;0000-00-00;;;sao paulo;arquiteto net senior;;;;;;;;;;;-;;
(11) 99029-4962;arquiteto net senior;apollo_andrade@gmail.com;46164;Apollo Andrade;0000-00-00;;;sao paulo;arquiteto net senior;;;;;;;;;;;-;;
(11) 97268-9920;arquiteto net senior;diego_pimenta@hotmail.com;46165;Diego Pimenta;0000-00-00;;;sao paulo;arquiteto net senior;;;;;;;;;;;-;;
(13) 92003-6620;consultor sap fi senior;sra._larissa_brito@gmail.com;46166;Sra. Larissa Brito;0000-00-00;;;sao paulo;consultor sap fi senior;;;;;;;;;;;-;;
(97) 94289-3624;automation engineers;sr._ryan_machado@gmail.com;46167;Sr. Ryan Machado;0000-00-00;;;sao paulo;automation engineers;;;;;;;;;;;-;;
(19) 99432-1426;arquiteto multicloud solucoessoftware java;brayan_teixeira@hotmail.com;46168;Brayan Teixeira;0000-00-00;;;sao paulo;arquiteto multicloud solucoessoftware java;;;;;;;;;;;-;;
(11) 95801-7500;consultor sap abap;carolina_montenegro@gmail.com;46169;Carolina Montenegro;0000-00-00;;;sao paulo;consultor sap abap;;;;;;;;;;;-;;
(81) 97755-4954;consultor sap abap;dra._emilly_azevedo@gmail.com;46170;Dra. Emilly Azevedo;20-02-1997;Masculino;nao;pernambuco;consultor sap abap;desenvolvimento programacao;;;;;;;ensino superior completo;intermediario;basico;Português - Fluente;sistemas de informacao;desenvolvimento programacao
(61) 98395-5941;arquiteto net;bento_sales@gmail.com;46171;Bento Sales;22-07-1994;Masculino;nao;tocantins;arquiteto net;arquitetura;;;Data Engineering on Microsoft Azure DP-203 Designing and Implementing Microsoft DevOps Solutions AZ-400 Microsoft Azure Administrator AZ-104 Developing Solutions for Microsoft Azure AZ-204 zure Solutions Architect Expert AZ-305;;;;mestrado completo;intermediario;avancado;Português - Fluente;ciencia da computacao;arquitetura
(21) 95889-7967;lotus notes;nina_silva@gmail.com;46172;Nina Silva;0000-00-00;;;rio de janeiro;lotus notes;;;;;;;;;;;-;;
(41) 96630-8896;arquiteto net senior;nicole_peixoto@gmail.com;46173;Nicole Peixoto;0000-00-00;;;parana;arquiteto net senior;;;;;;;;;;;-;;
(15) 94613-5350;arquiteto net senior;srta._beatriz_peixoto@gmail.com;46174;Srta. Beatriz Peixoto;0000-00-00;;;sao paulo;arquiteto net senior;;;;;;;;;;;-;;
(11) 96114-4177;sap cpi;maria_julia_fernandes@gmail.com;46175;Maria Julia Fernandes;0000-00-00;;;sao paulo;sap cpi;;;;;;;;;;;-;;
(11) 95094-3771;executivo de contas;ana_clara_aragão@gmail.com;46176;Ana Clara Aragão;0000-00-00;;;sao paulo;executivo de contas;;;;;;;;;;;-;;
(11) 93085-1474;executivo de contas;cauê_da_costa@gmail.com;46177;Cauê da Costa;0000-00-00;;;sao paulo;executivo de contas;;;;;;;;;;;-;;
(11) 92119-9882;gmo sap;sr._kaique_machado@gmail.com;46178;Sr. Kaique Machado;0000-00-00;;;sao paulo;gmo sap;;;;;;;;;;;-;;
(19) 95763-8936;sap pi;eloá_campos@gmail.com;46179;Eloá Campos;0000-00-00;;;sao paulo;sap pi;;;;;;;;;;;-;;
(11) 92599-9515;consultor sap pm cs dms;joaquim_sales@gmail.com;46180;Joaquim Sales;19-02-1963;Masculino;nao;sao paulo;consultor sap pm cs dms;relacionamento tecnico arquitetura;;;;;;;pos graduacao completo;intermediario;intermediario;-;engenharia mecatronica;relacionamento tecnico arquitetura
(83) 97592-3006;analista de controladoria senior;dr._erick_viana@hotmail.com;46181;Dr. Erick Viana;26-02-1982;Feminino;nao;paraiba;analista de controladoria senior;financeira controladoria;;;;;;;ensino superior completo;basico;nenhum;-;ciencias contabeis;financeira controladoria
(44) 94175-3063;diretor comercial;joão_miguel_guerra@hotmail.com;46182;João Miguel Guerra;0000-00-00;;;parana;diretor comercial;;;;;;;;;;;-;;
(11) 98814-8319;executivo de contas em ciberseguranca;ágatha_caldeira@hotmail.com;46183;Ágatha Caldeira;0000-00-00;;;sao paulo;executivo de contas em ciberseguranca;;;;;;;;;;;-;;
(11) 97598-8758;analista de esg pleno;enzo_gabriel_da_conceição@gmail.com;46184;Enzo Gabriel da Conceição;12-02-1997;Masculino;nao;sao paulo;analista de esg pleno;administrativa;;;;;;;pos graduacao completo;avancado;;-;;administrativa
(12) 97923-4967;analista de suporte;marcelo_gomes@hotmail.com;46185;Marcelo Gomes;02-12-1988;Masculino;nao;sao paulo;analista de suporte;suporte;;;;;;;ensino superior completo;intermediario;basico;-;analise e desenvolvimento de sistemas;suporte
(12) 97102-5991;lous notes domino com ingles;murilo_santos@gmail.com;46186;Murilo Santos;30-06-1983;Feminino;nao;sao paulo;lous notes domino com ingles;infraestrutura projetos seguranca informacao sistemas ferramentas suporte;;;;;;;pos graduacao completo;avancado;fluente;Português - Fluente;gestao de projetos;infraestrutura projetos seguranca informacao sistemas ferramentas suporte
(11) 93645-4132;analista de supply chain sr;dra._emanuella_rocha@hotmail.com;46187;Dra. Emanuella Rocha;03-07-1979;Masculino;nao;sao paulo;analista de supply chain sr;qualidade testes;;;;;;;pos graduacao completo;intermediario;intermediario;-;logistica;qualidade testes
(11) 96323-5291;consultor sap abap;cauã_correia@hotmail.com;46188;Cauã Correia;27-06-1988;Masculino;nao;sao paulo;consultor sap abap;sap;;;;;;;ensino superior incompleto;intermediario;nenhum;-;;sap
(11) 99792-1228;programador cnet senior;joaquim_garcia@hotmail.com;46189;Joaquim Garcia;0000-00-00;;;sao paulo;programador cnet senior;;;;;;;;;;;-;;
(42) 98029-5545;pmo especialista em projetos;natália_da_luz@gmail.com;46190;Natália da Luz;0000-00-00;;;parana;pmo especialista em projetos;;;;;;;;;;;-;;
(32) 96751-3857;em transicao de carreira;vitor_vasconcelos@hotmail.com;46191;Vitor Vasconcelos;28-10-1994;Masculino;nao;minas gerais;em transicao de carreira;desenvolvimento programacao;;;;;;;pos graduacao completo;intermediario;basico;-;analise e desenvolvimento de sistemas;desenvolvimento programacao
(11) 96228-3205;analista coordenadora;srta._ayla_porto@gmail.com;46192;Srta. Ayla Porto;17-12-1969;Feminino;nao;sao paulo;analista coordenadora;financeira controladoria;;;;;;;pos graduacao completo;intermediario;basico;-;financascontroladoria;financeira controladoria
(16) 94048-5523;analista de infra azure;oliver_moraes@gmail.com;46193;Oliver Moraes;0000-00-00;;;sao paulo;analista de infra azure;;;;;;;;;;;-;;
(11) 93280-9807;vb6;augusto_da_cunha@gmail.com;46194;Augusto da Cunha;0000-00-00;;;sao paulo;vb6;;;;;;;;;;;-;;
;executiva de contas;joão_gabriel_abreu@gmail.com;46195;João Gabriel Abreu;0000-00-00;;;sao paulo;executiva de contas;;;;;;;;;;;-;;
(12) 96450-9980;analista de suporte;catarina_castro@hotmail.com;46196;Catarina Castro;12-08-1996;Masculino;nao;sao paulo;analista de suporte;infraestrutura;;;;;;;ensino superior cursando;avancado;nenhum;-;analise e desenvolvimento de sistemas;infraestrutura
(11) 94333-1806;especialista em projeto pmo;srta._gabrielly_cavalcanti@gmail.com;46197;Srta. Gabrielly Cavalcanti;0000-00-00;;;sao paulo;especialista em projeto pmo;;;;;;;;;;;-;;
(12) 93395-2513;net vb6;felipe_rezende@hotmail.com;46198;Felipe Rezende;0000-00-00;;;sao paulo;net vb6;;;;;;;;;;;-;;
;executiva de contas em ciberseguranca;yago_dias@hotmail.com;46199;Yago Dias;0000-00-00;;;sao paulo;executiva de contas em ciberseguranca;;;;;;;;;;;-;;
(11) 91914-8964;executivo de contas em ciberseguranca;dra._sarah_moreira@gmail.com;46200;Dra. Sarah Moreira;10-05-1965;Masculino;sim;sao paulo;executivo de contas em ciberseguranca;comercial;;;;;;;pos graduacao completo;avancado;basico;-;marketing;comercial
(11) 92193-9096;executivo de contas em ciberseguranca;maria_sophia_macedo@gmail.com;46201;Maria Sophia Macedo;0000-00-00;;;sao paulo;executivo de contas em ciberseguranca;;;;;;;;;;;-;;
(11) 93251-1806;fernando rocha de moraes;luara_dias@gmail.com;46202;Luara Dias;0000-00-00;;;sao paulo;fernando rocha de moraes;;;;;;;;;;;-;;
(85) 92747-3624;dba;asafe_nogueira@gmail.com;46203;Asafe Nogueira;0000-00-00;;;ceara;dba;;;;;;;;;;;-;;
(85) 92893-1402;desenvolvedor;srta._alexia_gomes@hotmail.com;46204;Srta. Alexia Gomes;29-08-2001;Masculino;nao;ceara;desenvolvedor;desenvolvimento programacao;;;;;;;ensino superior cursando;intermediario;basico;Português -;engenharia de software;desenvolvimento programacao
(11) 96686-5022;especialista em controladoria;ágatha_fonseca@gmail.com;46205;Ágatha Fonseca;25-10-1982;Feminino;nao;sao paulo;especialista em controladoria;financeira controladoria;;;;;;;ensino superior completo;intermediario;basico;Japonês - Intermediário;ciencias contabeis;financeira controladoria
(11) 91859-5896;analista financeiro;milena_sá@hotmail.com;46206;Milena Sá;15-03-1978;Masculino;nao;sao paulo;analista financeiro;financeira controladoria;;;;;;;pos graduacao completo;avancado;basico;Italiano - Básico;administracao de empresas;financeira controladoria
(11) 93479-6020;abap;manuela_leão@hotmail.com;46207;Manuela Leão;0000-00-00;;;sao paulo;abap;;;;;;;;;;;-;;
(19) 98795-6155;aba;aurora_silva@gmail.com;46208;Aurora Silva;0000-00-00;;;sao paulo;aba;;;;;;;;;;;-;;
(11) 94332-5799;analista de sustentabilidade;carlos_eduardo_brito@gmail.com;46209;Carlos Eduardo Brito;0000-00-00;;;sao paulo;analista de sustentabilidade;;;;;;;;;;;-;;
(92) 95591-2334;analista de suporte jr;leonardo_sales@gmail.com;46210;Leonardo Sales;30-06-1999;Masculino;nao;amazonas;analista de suporte jr;suporte;;;;;;;ensino superior completo;intermediario;intermediario;-;sistemas de informacao;suporte
(24) 96845-2061;analista de ti;melina_teixeira@gmail.com;46211;Melina Teixeira;31-08-2001;Masculino;nao;rio de janeiro;analista de ti;sistemas ferramentas;;;;;;;ensino superior completo;intermediario;basico;Português - Fluente;sistemas de informacao;sistemas ferramentas
(81) 98897-4809;abap;sr._breno_da_paz@gmail.com;46212;Sr. Breno da Paz;0000-00-00;;;pernambuco;abap;;;;;;;;;;;-;;
;dba;srta._lavínia_cirino@gmail.com;46213;Srta. Lavínia Cirino;0000-00-00;;;ceara;dba;;;;;;;;;;;-;;
(11) 95248-8832;consultor sap hcm sr;ian_silveira@gmail.com;46214;Ian Silveira;27-06-1981;Masculino;nao;sao paulo;consultor sap hcm sr;recursos humanos;;;;;;;ensino superior completo;avancado;intermediario;-;marketing;recursos humanos
;consultor sap mm;dra._maria_luísa_jesus@hotmail.com;46215;Dra. Maria Luísa Jesus;0000-00-00;;;minas gerais;consultor sap mm;;;;;;;;;;;-;;
(85) 97904-4643;dba;maria_rocha@hotmail.com;46216;Maria Rocha;0000-00-00;;;ceara;dba;;;;;;;;;;;-;;
(13) 93958-4464;consultor sap abap;dra._milena_cavalcante@hotmail.com;46217;Dra. Milena Cavalcante;0000-00-00;;;sao paulo;consultor sap abap;;;;;;;;;;;-;;
(11) 99896-6474;dba oracle;srta._sara_pereira@hotmail.com;46219;Srta. Sara Pereira;29-09-1994;Masculino;nao;sao paulo;dba oracle;processos negocios;;;;;;;ensino superior completo;basico;;-;ciencia da computacao;processos negocios
(85) 94204-7026;dba;amanda_montenegro@hotmail.com;46220;Amanda Montenegro;0000-00-00;;;ceara;dba;;;;;;;;;;;-;;
;mm wm;hellena_carvalho@hotmail.com;46221;Hellena Carvalho;0000-00-00;;;sao paulo;mm wm;;;;;;;;;;;-;;
(21) 92566-7026;adiminstrativa;antony_da_mata@gmail.com;46222;Antony da Mata;31-12-1969;Feminino;nao;rio de janeiro;adiminstrativa;administrativa;;;;;;;pos graduacao completo;basico;nenhum;-;administracao;administrativa
(11) 97903-5320;microsoft dynamics;ana_julia_gonçalves@gmail.com;46223;Ana Julia Gonçalves;0000-00-00;;;sao paulo;microsoft dynamics;;;;;;;;;;;-;;
(81) 99576-8833;consultor sap trm fi;sabrina_da_conceição@hotmail.com;46224;Sabrina da Conceição;0000-00-00;;;pernambuco;consultor sap trm fi;;;;;;;;;;;-;;
(11) 99877-3707;sap abap;srta._maria_julia_machado@gmail.com;46225;Srta. Maria Julia Machado;0000-00-00;;;sao paulo;sap abap;;;;;;;;;;;-;;
(21) 97493-8388;power bi com ingles;bárbara_moraes@hotmail.com;46226;Bárbara Moraes;0000-00-00;;;rio de janeiro;power bi com ingles;;;;;;;;;;;-;;
(11) 91823-4842;consultor sap tdf;alexia_alves@gmail.com;46227;Alexia Alves;0000-00-00;;;sao paulo;consultor sap tdf;;;;;;;;;;;-;;
(11) 98957-8067;analista de funcionalrequisitos;ana_clara_sá@gmail.com;46228;Ana Clara Sá;30-06-1989;Feminino;nao;sao paulo;analista de funcionalrequisitos;processos negocios projetos telecom;;;;;;;ensino superior completo;basico;nenhum;-;sistemas de informacao;processos negocios projetos telecom
(12) 99913-2902;analista de suporte junior sjcsp;vitor_gabriel_cavalcante@hotmail.com;46229;Vitor Gabriel Cavalcante;27-04-1983;Masculino;nao;sao paulo;analista de suporte junior sjcsp;suporte;;;;;;;ensino superior completo;intermediario;basico;-;ciencia da computacao;suporte
(11) 93972-4870;analista de sistema mainframe;dra._rebeca_porto@hotmail.com;46230;Dra. Rebeca Porto;13-06-1958;Masculino;nao;sao paulo;analista de sistema mainframe;desenvolvimento programacao;;;;;;;pos graduacao completo;intermediario;nenhum;-;gestao empresarial;desenvolvimento programacao
;analista admonistrativo;emilly_brito@hotmail.com;46231;Emilly Brito;0000-00-00;;;rio de janeiro;analista admonistrativo;;;;;;;;;;;-;;
(85) 99060-1781;dba;luiz_miguel_da_rosa@gmail.com;46232;Luiz Miguel da Rosa;0000-00-00;;;ceara;dba;;;;;;;;;;;-;;
(11) 93310-7929;financeiro;sr._dante_vieira@hotmail.com;46233;Sr. Dante Vieira;0000-00-00;;;sao paulo;financeiro;;;;;;;;;;;-;;
;analista de projetos;milena_moraes@gmail.com;46234;Milena Moraes;0000-00-00;;;rio de janeiro;analista de projetos;;;;;;;;;;;-;;
(11) 92009-7437;analista de processos sr;luiz_henrique_peixoto@gmail.com;46235;Luiz Henrique Peixoto;19-05-1981;Masculino;;sao paulo;analista de processos sr;governanca;;;;;;;ensino superior completo;intermediario;basico;-;tecnologia da informacao;governanca
(11) 98306-4010;consultor de contabilidade senior;ana_julia_correia@hotmail.com;46236;Ana Julia Correia;0000-00-00;Masculino;;sao paulo;consultor de contabilidade senior;;;;;;;;;;;-;;
(61) 99066-1702;websphere senior;luiz_gustavo_souza@hotmail.com;46237;Luiz Gustavo Souza;0000-00-00;;;distrito federal;websphere senior;;;;;;;;;;;-;;
(11) 99428-5822;analista financeira;sra._joana_ribeiro@hotmail.com;46238;Sra. Joana Ribeiro;19-01-1996;Feminino;nao;sao paulo;analista financeira;financeira controladoria;;;;;;;pos graduacao completo;intermediario;;-;gestao financeira;financeira controladoria
(18) 99271-1955;logistica;bárbara_rios@hotmail.com;46239;Bárbara Rios;0000-00-00;;;sao paulo;logistica;;;;;;;;;;;-;;
(11) 93072-6470;analista financeiro;benício_câmara@gmail.com;46240;Benício Câmara;0000-00-00;;;sao paulo;analista financeiro;;;;;;;;;;;-;;
(11) 96004-7088;analista financeiro;ana_cecília_pereira@gmail.com;46241;Ana Cecília Pereira;0000-00-00;;;sao paulo;analista financeiro;;;;;;;;;;;-;;
(19) 95673-8055;logistica;luiz_felipe_melo@hotmail.com;46242;Luiz Felipe Melo;0000-00-00;;;sao paulo;logistica;;;;;;;;;;;-;;
(19) 96363-9953;logistica;dra._ana_lívia_moura@gmail.com;46243;Dra. Ana Lívia Moura;0000-00-00;;;sao paulo;logistica;;;;;;;;;;;-;;
(31) 97593-9397;analista de seguranca da informacao;luiz_miguel_lopes@hotmail.com;46244;Luiz Miguel Lopes;0000-00-00;;;minas gerais;analista de seguranca da informacao;;;;;;;;;;;-;;
(11) 91309-4674;sap pm;joaquim_cirino@hotmail.com;46245;Joaquim Cirino;0000-00-00;;;sao paulo;sap pm;;;;;;;;;;;-;;
(45) 97800-8369;gerente de projetos;allana_sales@gmail.com;46246;Allana Sales;30-04-1983;Masculino;nao;sao paulo;gerente de projetos;administrativa comercial financeira controladoria gestao alocacao recursos juridica marketing novos negocios parcerias qualidade corporativa recursos humanos relacionamento tecnico arquitetura banco dados desenvolvimento design desenvolvimento mobile desenvolvimento programacao governanca infraestrutura processos negocios projetos qualidade testes sap seguranca informacao sistemas ferramentas suporte telecom;;;CSM, CSPO, KMPG e PACC;;;;pos graduacao completo;avancado;avancado;-;engenharia da computacao;administrativa comercial financeira controladoria gestao alocacao recursos juridica marketing novos negocios parcerias qualidade corporativa recursos humanos relacionamento tecnico arquitetura banco dados desenvolvimento design desenvolvimento mobile desenvolvimento programacao governanca infraestrutura processos negocios projetos qualidade testes sap seguranca informacao sistemas ferramentas suporte telecom
(24) 95869-3047;gmo;vitor_gabriel_siqueira@hotmail.com;46247;Vitor Gabriel Siqueira;0000-00-00;;;sao paulo;gmo;;;;;;;;;;;-;;
(19) 98280-8158;gerente;gabrielly_melo@hotmail.com;46248;Gabrielly Melo;16-05-1976;Masculino;nao;sao paulo;gerente;comercial;;;;;;;pos graduacao completo;basico;basico;-;gestao de negocios;comercial
(11) 96883-6176;analista de planejamento;ayla_costa@gmail.com;46249;Ayla Costa;30-04-1985;Masculino;;sao paulo;analista de planejamento;marketing;;;;;;;pos graduacao completo;intermediario;basico;-;gestao de negocios;marketing
(19) 99576-8623;coordenador de producao;ravy_alves@hotmail.com;46250;Ravy Alves;10-05-1982;Masculino;nao;sao paulo;coordenador de producao;administrativa;;;;;;;pos graduacao completo;avancado;nenhum;-;administracao de empresas;administrativa
(11) 95550-7535;diretora comercial cs cx;kevin_aragão@gmail.com;46251;Kevin Aragão;05-08-1981;Feminino;nao;sao paulo;diretora comercial cs cx;comercial;;;;;;;pos graduacao completo;intermediario;basico;-;administracao;comercial
(61) 97571-5742;webphere;davi_miguel_albuquerque@gmail.com;46252;Davi Miguel Albuquerque;0000-00-00;;;distrito federal;webphere;;;;;;;;;;;-;;
(11) 91492-3054;cobol python;sr._davi_lucca_vargas@gmail.com;46253;Sr. Davi Lucca Vargas;0000-00-00;;;sao paulo;cobol python;;;;;;;;;;;-;;
